,path,file_name,place,train_test,hammer_type,label
0,D:\daon_data\nagoya_20210727_cutout_5ms\asr\test\small,3_testdata_01-01.wav,asr,test,small,
1,D:\daon_data\nagoya_20210727_cutout_5ms\asr\test\small,3_testdata_01-02.wav,asr,test,small,
2,D:\daon_data\nagoya_20210727_cutout_5ms\asr\test\small,3_testdata_01-03.wav,asr,test,small,
3,D:\daon_data\nagoya_20210727_cutout_5ms\asr\test\small,3_testdata_01-04.wav,asr,test,small,
4,D:\daon_data\nagoya_20210727_cutout_5ms\asr\test\small,3_testdata_01-05.wav,asr,test,small,
5,D:\daon_data\nagoya_20210727_cutout_5ms\asr\test\small,3_testdata_01-06.wav,asr,test,small,
6,D:\daon_data\nagoya_20210727_cutout_5ms\asr\test\small,3_testdata_01-07.wav,asr,test,small,
7,D:\daon_data\nagoya_20210727_cutout_5ms\asr\test\small,3_testdata_01-08.wav,asr,test,small,
8,D:\daon_data\nagoya_20210727_cutout_5ms\asr\test\small,3_testdata_01-09.wav,asr,test,small,
9,D:\daon_data\nagoya_20210727_cutout_5ms\asr\test\small,3_testdata_01-10.wav,asr,test,small,
10,D:\daon_data\nagoya_20210727_cutout_5ms\asr\test\small,3_testdata_01-11.wav,asr,test,small,
11,D:\daon_data\nagoya_20210727_cutout_5ms\asr\test\small,3_testdata_01-12.wav,asr,test,small,
12,D:\daon_data\nagoya_20210727_cutout_5ms\asr\test\small,3_testdata_01-13.wav,asr,test,small,
13,D:\daon_data\nagoya_20210727_cutout_5ms\asr\test\small,3_testdata_01-14.wav,asr,test,small,
14,D:\daon_data\nagoya_20210727_cutout_5ms\asr\test\small,3_testdata_01-15.wav,asr,test,small,
15,D:\daon_data\nagoya_20210727_cutout_5ms\asr\test\small,3_testdata_01-16.wav,asr,test,small,
16,D:\daon_data\nagoya_20210727_cutout_5ms\asr\test\small,3_testdata_01-17.wav,asr,test,small,
17,D:\daon_data\nagoya_20210727_cutout_5ms\asr\test\small,3_testdata_01-18.wav,asr,test,small,
18,D:\daon_data\nagoya_20210727_cutout_5ms\asr\test\small,3_testdata_01-19.wav,asr,test,small,
19,D:\daon_data\nagoya_20210727_cutout_5ms\asr\test\small,3_testdata_01-20.wav,asr,test,small,
20,D:\daon_data\nagoya_20210727_cutout_5ms\asr\test\small,3_testdata_01-21.wav,asr,test,small,
21,D:\daon_data\nagoya_20210727_cutout_5ms\asr\test\small,3_testdata_01-22.wav,asr,test,small,
22,D:\daon_data\nagoya_20210727_cutout_5ms\asr\test\small,3_testdata_01-23.wav,asr,test,small,
23,D:\daon_data\nagoya_20210727_cutout_5ms\asr\test\small,3_testdata_01-24.wav,asr,test,small,
24,D:\daon_data\nagoya_20210727_cutout_5ms\asr\test\small,3_testdata_01-25.wav,asr,test,small,
25,D:\daon_data\nagoya_20210727_cutout_5ms\asr\test\small,3_testdata_01-26.wav,asr,test,small,
26,D:\daon_data\nagoya_20210727_cutout_5ms\asr\test\small,3_testdata_01-27.wav,asr,test,small,
27,D:\daon_data\nagoya_20210727_cutout_5ms\asr\test\small,3_testdata_01-28.wav,asr,test,small,
28,D:\daon_data\nagoya_20210727_cutout_5ms\asr\test\small,3_testdata_01-29.wav,asr,test,small,
29,D:\daon_data\nagoya_20210727_cutout_5ms\asr\test\small,3_testdata_01-30.wav,asr,test,small,
30,D:\daon_data\nagoya_20210727_cutout_5ms\asr\test\small,3_testdata_01-31.wav,asr,test,small,
31,D:\daon_data\nagoya_20210727_cutout_5ms\asr\test\small,3_testdata_01-32.wav,asr,test,small,
32,D:\daon_data\nagoya_20210727_cutout_5ms\asr\test\small,3_testdata_02-01.wav,asr,test,small,
33,D:\daon_data\nagoya_20210727_cutout_5ms\asr\test\small,3_testdata_02-02.wav,asr,test,small,
34,D:\daon_data\nagoya_20210727_cutout_5ms\asr\test\small,3_testdata_02-03.wav,asr,test,small,
35,D:\daon_data\nagoya_20210727_cutout_5ms\asr\test\small,3_testdata_02-04.wav,asr,test,small,
36,D:\daon_data\nagoya_20210727_cutout_5ms\asr\test\small,3_testdata_02-05.wav,asr,test,small,
37,D:\daon_data\nagoya_20210727_cutout_5ms\asr\test\small,3_testdata_02-06.wav,asr,test,small,
38,D:\daon_data\nagoya_20210727_cutout_5ms\asr\test\small,3_testdata_02-07.wav,asr,test,small,
39,D:\daon_data\nagoya_20210727_cutout_5ms\asr\test\small,3_testdata_02-08.wav,asr,test,small,
40,D:\daon_data\nagoya_20210727_cutout_5ms\asr\test\small,3_testdata_02-09.wav,asr,test,small,
41,D:\daon_data\nagoya_20210727_cutout_5ms\asr\test\small,3_testdata_02-10.wav,asr,test,small,
42,D:\daon_data\nagoya_20210727_cutout_5ms\asr\test\small,3_testdata_02-11.wav,asr,test,small,
43,D:\daon_data\nagoya_20210727_cutout_5ms\asr\test\small,3_testdata_02-12.wav,asr,test,small,
44,D:\daon_data\nagoya_20210727_cutout_5ms\asr\test\small,3_testdata_02-13.wav,asr,test,small,
45,D:\daon_data\nagoya_20210727_cutout_5ms\asr\test\small,3_testdata_02-14.wav,asr,test,small,
46,D:\daon_data\nagoya_20210727_cutout_5ms\asr\test\small,3_testdata_02-15.wav,asr,test,small,
